Timestamp,Unix Timestamp,CPU System
2025-07-30 16:11:52 1753891912 0.1362
2025-07-30 16:10:52 1753891852 0.1616
2025-07-30 16:09:51 1753891791 0.155
2025-07-30 16:08:51 1753891731 0.147
2025-07-30 16:07:51 1753891671 0.1556
2025-07-30 16:06:51 1753891611 0.1317
2025-07-30 16:05:51 1753891551 0.1431
2025-07-30 16:04:51 1753891491 0.1532
2025-07-30 16:03:51 1753891431 0.1387
2025-07-30 16:02:51 1753891371 0.1539
2025-07-30 16:01:51 1753891311 0.1404
2025-07-30 16:00:51 1753891251 0.1404
2025-07-30 15:59:51 1753891191 0.1608
2025-07-30 15:58:51 1753891131 0.1424
2025-07-30 15:57:51 1753891071 0.1598
2025-07-30 15:56:51 1753891011 0.1646
2025-07-30 15:55:51 1753890951 0.1466
2025-07-30 15:54:51 1753890891 0.1605
2025-07-30 15:53:51 1753890831 0.1522
2025-07-30 15:52:51 1753890771 0.1366
2025-07-30 15:51:51 1753890711 0.1601
2025-07-30 15:50:51 1753890651 0.1497
2025-07-30 15:49:51 1753890591 0.1428
2025-07-30 15:48:51 1753890531 0.1674
2025-07-30 15:47:51 1753890471 0.1376
2025-07-30 15:46:51 1753890411 0.1612
2025-07-30 15:45:51 1753890351 0.1619
2025-07-30 15:44:51 1753890291 0.1487
2025-07-30 15:43:51 1753890231 0.1511
2025-07-30 15:42:51 1753890171 0.1439
2025-07-30 15:41:51 1753890111 0.1456
2025-07-30 15:40:51 1753890051 0.1536
2025-07-30 15:39:51 1753889991 0.1556
2025-07-30 15:38:51 1753889931 0.1515
2025-07-30 15:37:51 1753889871 0.1459
2025-07-30 15:36:51 1753889811 0.1487
2025-07-30 15:35:51 1753889751 0.1661
2025-07-30 15:34:51 1753889691 0.1449
2025-07-30 15:33:51 1753889631 0.1431
2025-07-30 15:32:51 1753889571 0.1491
2025-07-30 15:31:51 1753889511 0.1414
2025-07-30 15:30:51 1753889451 0.1581
2025-07-30 15:29:51 1753889391 0.1508
2025-07-30 15:28:51 1753889331 0.1435
2025-07-30 15:27:51 1753889271 0.1681
2025-07-30 15:26:51 1753889211 0.1379
2025-07-30 15:25:51 1753889151 0.1511
2025-07-30 15:24:51 1753889091 0.1529
2025-07-30 15:23:51 1753889031 0.1626
2025-07-30 15:22:51 1753888971 0.1431
2025-07-30 15:21:51 1753888911 0.1543
2025-07-30 15:20:51 1753888851 0.157
2025-07-30 15:19:51 1753888791 0.1418
2025-07-30 15:18:51 1753888731 0.1588
2025-07-30 15:17:51 1753888671 0.1518
2025-07-30 15:16:51 1753888611 0.1348
2025-07-30 15:15:51 1753888551 0.1723
2025-07-30 15:14:51 1753888491 0.1404
2025-07-30 15:13:51 1753888431 0.1459
2025-07-30 15:12:51 1753888371 0.1688
2025-07-30 15:11:51 1753888311 0.1425
2025-07-30 15:10:51 1753888251 0.1619
2025-07-30 15:09:51 1753888191 0.1494
2025-07-30 15:08:51 1753888131 0.1435
2025-07-30 15:07:51 1753888071 0.1647
2025-07-30 15:06:51 1753888011 0.1338
2025-07-30 15:05:51 1753887951 0.1418
2025-07-30 15:04:51 1753887891 0.1411
2025-07-30 15:03:52 1753887832 0.1626
2025-07-30 15:02:51 1753887771 0.1411
2025-07-30 15:01:51 1753887711 0.1584
2025-07-30 15:00:51 1753887651 0.1657
2025-07-30 14:59:51 1753887591 0.1456
2025-07-30 14:58:51 1753887531 0.1605
2025-07-30 14:57:51 1753887471 0.1383
2025-07-30 14:56:51 1753887411 0.1487
2025-07-30 14:55:51 1753887351 0.1713
2025-07-30 14:54:51 1753887291 0.1265
2025-07-30 14:53:51 1753887231 0.1643
2025-07-30 14:52:51 1753887171 0.149
2025-07-30 14:51:51 1753887111 0.1362
2025-07-30 14:50:51 1753887051 0.1661
2025-07-30 14:49:51 1753886991 0.1348
2025-07-30 14:48:51 1753886931 0.1647
2025-07-30 14:47:51 1753886871 0.1425
2025-07-30 14:46:51 1753886811 0.148
2025-07-30 14:45:51 1753886751 0.1688
2025-07-30 14:44:51 1753886691 0.1435
2025-07-30 14:43:51 1753886631 0.1605
2025-07-30 14:42:51 1753886571 0.1442
2025-07-30 14:41:51 1753886511 0.148
2025-07-30 14:40:51 1753886451 0.1723
2025-07-30 14:39:51 1753886391 0.1484
2025-07-30 14:38:51 1753886331 0.1653
2025-07-30 14:37:51 1753886271 0.1414
2025-07-30 14:36:51 1753886211 0.1456
2025-07-30 14:35:51 1753886151 0.1595
2025-07-30 14:34:51 1753886091 0.14
2025-07-30 14:33:51 1753886031 0.1702
2025-07-30 14:32:51 1753885971 0.147
2025-07-30 14:31:51 1753885911 0.1442
2025-07-30 14:30:51 1753885851 0.1612
2025-07-30 14:29:51 1753885791 0.1348
2025-07-30 14:28:51 1753885731 0.1535
2025-07-30 14:27:51 1753885671 0.1671
2025-07-30 14:26:51 1753885611 0.1324
2025-07-30 14:25:51 1753885551 0.1674
2025-07-30 14:24:51 1753885491 0.1421
2025-07-30 14:23:51 1753885431 0.1595
2025-07-30 14:22:51 1753885371 0.1668
2025-07-30 14:21:51 1753885311 0.1445
2025-07-30 14:20:51 1753885251 0.1501
2025-07-30 14:19:51 1753885191 0.1435
2025-07-30 14:18:51 1753885131 0.1456
2025-07-30 14:17:51 1753885071 0.1577
2025-07-30 14:16:51 1753885011 0.1431
2025-07-30 14:15:50 1753884950 0.157
2025-07-30 14:14:50 1753884890 0.1581
2025-07-30 14:13:50 1753884830 0.1491
2025-07-30 14:12:50 1753884770 0.1713
2025-07-30 14:11:50 1753884710 0.1428
2025-07-30 14:10:50 1753884650 0.1588
2025-07-30 14:09:50 1753884590 0.1418
2025-07-30 14:08:50 1753884530 0.1251
2025-07-30 14:07:50 1753884470 0.1584
2025-07-30 14:06:50 1753884410 0.1459
2025-07-30 14:05:50 1753884350 0.156
2025-07-30 14:04:50 1753884290 0.1619
2025-07-30 14:03:50 1753884230 0.1438
2025-07-30 14:02:50 1753884170 0.1636
2025-07-30 14:01:50 1753884110 0.1407
2025-07-30 14:00:50 1753884050 0.1522
2025-07-30 13:59:50 1753883990 0.1567
2025-07-30 13:58:50 1753883930 0.1327
2025-07-30 13:57:50 1753883870 0.1685
2025-07-30 13:56:50 1753883810 0.147
2025-07-30 13:55:50 1753883750 0.147
2025-07-30 13:54:50 1753883690 0.1727
2025-07-30 13:53:50 1753883630 0.132
2025-07-30 13:52:50 1753883570 0.1626
2025-07-30 13:51:50 1753883510 0.1574
2025-07-30 13:50:50 1753883450 0.1296
2025-07-30 13:49:50 1753883390 0.1549
2025-07-30 13:48:50 1753883330 0.1536
2025-07-30 13:47:50 1753883270 0.1456
2025-07-30 13:46:50 1753883210 0.1685
2025-07-30 13:45:50 1753883150 0.1393
2025-07-30 13:44:50 1753883090 0.1532
2025-07-30 13:43:50 1753883030 0.1473
2025-07-30 13:42:50 1753882970 0.138
2025-07-30 13:41:50 1753882910 0.1734
2025-07-30 13:40:50 1753882850 0.1522
2025-07-30 13:39:50 1753882790 0.1432
2025-07-30 13:38:50 1753882730 0.1577
2025-07-30 13:37:50 1753882670 0.1386
2025-07-30 13:36:50 1753882610 0.1754
2025-07-30 13:35:50 1753882550 0.1584
2025-07-30 13:34:50 1753882490 0.1393
2025-07-30 13:33:50 1753882430 0.1587
2025-07-30 13:32:50 1753882370 0.1366
2025-07-30 13:31:51 1753882311 0.1585
2025-07-30 13:30:50 1753882250 0.1657
2025-07-30 13:29:50 1753882190 0.1379
2025-07-30 13:28:50 1753882130 0.1567
2025-07-30 13:27:50 1753882070 0.1445
2025-07-30 13:26:50 1753882010 0.1577
2025-07-30 13:25:50 1753881950 0.1688
2025-07-30 13:24:50 1753881890 0.1404
2025-07-30 13:23:50 1753881830 0.1581
2025-07-30 13:22:50 1753881770 0.1473
2025-07-30 13:21:50 1753881710 0.1532
2025-07-30 13:20:50 1753881650 0.1713
2025-07-30 13:19:50 1753881590 0.1421
2025-07-30 13:18:50 1753881530 0.1494
2025-07-30 13:17:50 1753881470 0.1518
2025-07-30 13:16:50 1753881410 0.14
2025-07-30 13:15:50 1753881350 0.1588
2025-07-30 13:14:50 1753881290 0.1424
2025-07-30 13:13:50 1753881230 0.1435
2025-07-30 13:12:50 1753881170 0.1574
2025-07-30 13:11:50 1753881110 0.1498
2025-07-30 13:10:50 1753881050 0.1546
2025-07-30 13:09:51 1753880991 0.1591
2025-07-30 13:08:50 1753880930 0.1459
2025-07-30 13:07:50 1753880870 0.1372
2025-07-30 13:06:50 1753880810 0.1536
2025-07-30 13:05:50 1753880750 0.1456
2025-07-30 13:04:50 1753880690 0.1699
2025-07-30 13:03:50 1753880630 0.1442
2025-07-30 13:02:50 1753880570 0.1307
2025-07-30 13:01:50 1753880510 0.1556
2025-07-30 13:00:50 1753880450 0.147
2025-07-30 12:59:50 1753880390 0.1484
2025-07-30 12:58:50 1753880330 0.1535
2025-07-30 12:57:50 1753880270 0.1435
2025-07-30 12:56:50 1753880210 0.1504
2025-07-30 12:55:50 1753880150 0.1556
2025-07-30 12:54:50 1753880090 0.1383
2025-07-30 12:53:50 1753880030 0.1512
2025-07-30 12:52:50 1753879970 0.1636
2025-07-30 12:51:50 1753879910 0.1369
2025-07-30 12:50:50 1753879850 0.1567
2025-07-30 12:49:50 1753879790 0.1515
2025-07-30 12:48:50 1753879730 0.1393
2025-07-30 12:47:50 1753879670 0.1511
2025-07-30 12:46:50 1753879610 0.1404
2025-07-30 12:45:50 1753879550 0.1546
2025-07-30 12:44:50 1753879490 0.1518
2025-07-30 12:43:50 1753879430 0.1452
2025-07-30 12:42:50 1753879370 0.1588
2025-07-30 12:41:50 1753879310 0.1539
2025-07-30 12:40:50 1753879250 0.1456
2025-07-30 12:39:50 1753879190 0.1525
2025-07-30 12:38:50 1753879130 0.1473
2025-07-30 12:37:50 1753879070 0.1466
2025-07-30 12:36:50 1753879010 0.148
2025-07-30 12:35:50 1753878950 0.1598
2025-07-30 12:34:50 1753878890 0.1543
2025-07-30 12:33:50 1753878830 0.1529
2025-07-30 12:32:50 1753878770 0.1619
2025-07-30 12:31:50 1753878710 0.1459
2025-07-30 12:30:50 1753878650 0.1473
2025-07-30 12:29:50 1753878590 0.1466
2025-07-30 12:28:50 1753878530 0.1515
2025-07-30 12:27:50 1753878470 0.1439
2025-07-30 12:26:50 1753878410 0.1612
